"rec","X","Y","Z","bird"
"6139",188384.193,1997286.837,3.5,"YWFA,Y_G"
"6140",188387.355,1997285.644,4,"YWFA,Y_G"
"6141",188387.388,1997286.854,4.5,"YWFA,Y_G"
"6142",188386.792,1997285.632,5.5,"YWFA,Y_G"
"6143",188383.602,1997287.938,5,"YWFA,Y_G"
"6144",188374.056,1997289.136,6,"YWFA,Y_G"
"6145",188374.431,1997288.98,5.5,"YWFA,Y_G"
"6146",188436.627,1997273.449,8.5,"YWFA,Y_G"
"6147",188439.009,1997272.767,6.5,"YWFA,Y_G"
"6148",188438.189,1997272.73,7.5,"YWFA,Y_G"
"6149",188399.236,1997280.029,9,"YWFA,Y_G"
"6150",188421.73,1997267.717,5,"YWFA,Y_G"
"6151",188418.299,1997278.825,5,"YWFA,Y_G"
"6152",188345.304,1997308.122,5,"YWFA,Y_G"
"6153",188397.849,1997303.632,5.5,"YWFA,Y_G"
"6154",188420.469,1997298.926,6,"YWFA,Y_G"
"6155",188420.768,1997298.629,6,"YWFA,Y_G"
"6156",188421.912,1997297.31,3.5,"YWFA,Y_G"
"6157",188426.436,1997295.358,4,"YWFA,Y_G"
"6158",188437.623,1997289.102,5,"YWFA,Y_G"
"6159",188436.41,1997289.34,5,"YWFA,Y_G"
"6160",188376.164,1997281.725,6,"YWFA,Y_G"
"6161",188374.853,1997270.366,2.5,"YWFA,Y_G"
"53",188412.121,1997296.389,0,"RSFA_BK,O"
"54",188415.163,1997301.786,7,"RSFA_BK,O"
"55",188413.464,1997302.312,7,"RSFA_BK,O"
"56",188412.058,1997311.255,12,"RSFA_BK,O"
"57",188402.591,1997273.803,3,"RSFA_BK,O"
"58",188406.526,1997278.573,0,"RSFA_BK,O"
"59",188400.643,1997273.935,5,"RSFA_BK,O"
"60",188408.502,1997308.144,1,"RSFA_BK,O"
"61",188409.686,1997312.613,1,"RSFA_BK,O"
"62",188411.528,1997311.806,2.5,"RSFA_BK,O"
"63",188410.285,1997310.329,4,"RSFA_BK,O"
"64",188401.909,1997304.7,6,"RSFA_BK,O"
"65",188397.795,1997300.459,7.5,"RSFA_BK,O"
"66",188398.09,1997298.937,7.5,"RSFA_BK,O"
"67",188397.255,1997297.156,7.5,"RSFA_BK,O"
"68",188396.151,1997301.177,6.5,"RSFA_BK,O"
"69",188388.518,1997299.906,0,"RSFA_BK,O"
"70",188383.772,1997311.535,3.5,"RSFA_BK,O"
"71",188377.78,1997301.055,5,"RSFA_BK,O"
"72",188378.624,1997305.834,5,"RSFA_BK,O"
"73",188380.133,1997307.807,7,"RSFA_BK,O"
"74",188382.654,1997316.822,2,"RSFA_BK,O"
"75",188384.884,1997321.038,4.5,"RSFA_BK,O"
"76",188406.894,1997306.996,2,"RSFA_BK,O"
"77",188408.232,1997311.064,2,"RSFA_BK,O"
"78",188421.762,1997302.753,0,"RSFA_BK,O"
"79",188408.114,1997312.804,0.5,"RSFA_BK,O"
"80",188400.408,1997301.739,0,"RSFA_BK,O"
"81",188394.818,1997298.124,1,"RSFA_BK,O"
"82",188386.87,1997290.883,4,"RSFA_BK,O"
"83",188385.096,1997293.334,4.5,"RSFA_BK,O"
"84",188384.468,1997292.682,5,"RSFA_BK,O"
"85",188385.172,1997301.2,6,"RSFA_BK,O"
"86",188383.142,1997305.064,6,"RSFA_BK,O"
"87",188405.878,1997306.834,2.5,"RSFA_BK,O"
"88",188405.627,1997315.632,2,"RSFA_BK,O"
"89",188414.085,1997306.037,3,"RSFA_BK,O"
"90",188412.157,1997311.745,2,"RSFA_BK,O"
"91",188398.656,1997314.278,0.5,"RSFA_BK,O"
"92",188391.901,1997313.072,1,"RSFA_BK,O"
"93",188387.081,1997312.248,2,"RSFA_BK,O"
"94",188382.614,1997300.316,1.5,"RSFA_BK,O"
"95",188383.428,1997313.294,5,"RSFA_BK,O"
"96",188381.709,1997311.065,5,"RSFA_BK,O"
"97",188380.543,1997306.919,6,"RSFA_BK,O"
"98",188381.867,1997301.418,4.5,"RSFA_BK,O"
"99",188388.002,1997291.937,1.5,"RSFA_BK,O"
"100",188385.667,1997281.822,1.5,"RSFA_BK,O"
"101",188397.845,1997291.923,1,"RSFA_BK,O"
"102",188401.342,1997288.028,2,"RSFA_BK,O"
"103",188400.035,1997285.868,2.5,"RSFA_BK,O"
"104",188398.849,1997285.669,0,"RSFA_BK,O"
"105",188394.292,1997288.546,0,"RSFA_BK,O"
"106",188393.559,1997287.352,1.5,"RSFA_BK,O"
"107",188426.215,1997303.452,1,"RSFA_BK,O"
"108",188382.218,1997302.665,5.5,"RSFA_BK,O"
"109",188406.851,1997308.945,0,"RSFA_BK,O"
"110",188409.742,1997313.583,0,"RSFA_BK,O"
"111",188388.164,1997299.673,1,"RSFA_BK,O"
"112",188383.091,1997300.184,1.5,"RSFA_BK,O"
"113",188380.445,1997303.35,2,"RSFA_BK,O"
"114",188383.336,1997310.961,2.5,"RSFA_BK,O"
"115",188385.582,1997309.532,2.5,"RSFA_BK,O"
"116",188384.923,1997313.739,3,"RSFA_BK,O"
"117",188386.862,1997309.523,3.5,"RSFA_BK,O"
"118",188395.862,1997307.595,1.5,"RSFA_BK,O"
"119",188394.86,1997296.507,0,"RSFA_BK,O"
"120",188396.524,1997290.678,1.5,"RSFA_BK,O"
"121",188411.88,1997307.793,0,"RSFA_BK,O"
"122",188399.635,1997314.3,0.5,"RSFA_BK,O"
"123",188389.368,1997311.305,4,"RSFA_BK,O"
"124",188387.524,1997312.323,6,"RSFA_BK,O"
"125",188386.933,1997315.04,5,"RSFA_BK,O"
"126",188392.96,1997316.983,0,"RSFA_BK,O"
"127",188401.681,1997313.805,1.5,"RSFA_BK,O"
"128",188406.322,1997307.288,2.5,"RSFA_BK,O"
"129",188413.317,1997310.837,0,"RSFA_BK,O"
"130",188395.738,1997310.074,2.5,"RSFA_BK,O"
"131",188396.744,1997307.492,2.5,"RSFA_BK,O"
"132",188387.097,1997301.025,2,"RSFA_BK,O"
"133",188382.138,1997299.6,4,"RSFA_BK,O"
"134",188383.933,1997292.396,3,"RSFA_BK,O"
"135",188392.822,1997294.778,2,"RSFA_BK,O"
"136",188393.993,1997293.507,1.5,"RSFA_BK,O"
"137",188393.6,1997288.449,0.5,"RSFA_BK,O"
"138",188390.562,1997280.565,1.5,"RSFA_BK,O"
"139",188386.626,1997279.254,6,"RSFA_BK,O"
"140",188386.238,1997292.06,4,"RSFA_BK,O"
"141",188399.742,1997301.822,1,"RSFA_BK,O"
"142",188403.173,1997299.821,3,"RSFA_BK,O"
"143",188404.454,1997297.742,7,"RSFA_BK,O"
"144",188404.599,1997298.707,7.5,"RSFA_BK,O"
"145",188403.358,1997299.48,6.5,"RSFA_BK,O"
"146",188403.058,1997297.214,6.5,"RSFA_BK,O"
"147",188404.122,1997301.135,6,"RSFA_BK,O"
"148",188402.996,1997300.738,6,"RSFA_BK,O"
"149",188403.189,1997300.796,6,"RSFA_BK,O"
"150",188400.795,1997302.302,5,"RSFA_BK,O"
"154",188411.896,1997301.684,5,"RSFA_BK,O"
"2388",188342.14,1997291.091,3,"RSMBK,BK_A"
"2389",188333.678,1997277.667,3,"RSMBK,BK_A"
"2390",188348.562,1997268.438,3,"RSMBK,BK_A"
"2391",188354.629,1997263.625,5,"RSMBK,BK_A"
"2392",188373.583,1997267.368,2,"RSMBK,BK_A"
"2393",188339.626,1997282.755,1,"RSMBK,BK_A"
"2394",188342.733,1997289.594,3,"RSMBK,BK_A"
"2395",188354.277,1997298.377,5,"RSMBK,BK_A"
"2396",188346.743,1997285.173,3,"RSMBK,BK_A"
"2397",188336.941,1997283.347,0.5,"RSMBK,BK_A"
"2398",188332.359,1997279.893,0.5,"RSMBK,BK_A"
"2399",188342.718,1997268.48,6,"RSMBK,BK_A"
"2400",188360.52,1997263.204,5.5,"RSMBK,BK_A"
"2401",188351.59,1997274.523,0.5,"RSMBK,BK_A"
"2402",188362.639,1997265.175,1.5,"RSMBK,BK_A"
"2403",188371.451,1997269.083,0.5,"RSMBK,BK_A"
"2404",188352.992,1997283.369,0.5,"RSMBK,BK_A"
"2405",188350.572,1997288.007,0.5,"RSMBK,BK_A"
"2406",188350.618,1997297.451,0.5,"RSMBK,BK_A"
"2407",188362.471,1997299.185,0.5,"RSMBK,BK_A"
"2408",188358.047,1997305.868,4,"RSMBK,BK_A"
"2409",188351.623,1997268.886,5,"RSMBK,BK_A"
"2410",188338.204,1997287.56,2.5,"RSMBK,BK_A"
"2411",188348.878,1997298.743,2.5,"RSMBK,BK_A"
"2412",188377.821,1997254.032,0.5,"RSMBK,BK_A"
"2413",188369.058,1997271.13,2.5,"RSMBK,BK_A"
"2414",188372.859,1997286.166,1.5,"RSMBK,BK_A"
"2415",188372.444,1997297.556,0.5,"RSMBK,BK_A"
"2416",188368.7,1997299.221,0.5,"RSMBK,BK_A"
"2417",188366.375,1997311.147,2.5,"RSMBK,BK_A"
"2418",188363.033,1997312.124,3.5,"RSMBK,BK_A"
"2419",188362.032,1997313.302,4.5,"RSMBK,BK_A"
"2420",188375.811,1997313.637,1.5,"RSMBK,BK_A"
"2421",188376.198,1997311.543,0,"RSMBK,BK_A"
"2422",188380.468,1997306.699,3,"RSMBK,BK_A"
"2423",188379.083,1997305.34,4,"RSMBK,BK_A"
"2424",188355.509,1997292.892,2.5,"RSMBK,BK_A"
"2425",188357.816,1997292.462,3.5,"RSMBK,BK_A"
"2426",188354.337,1997298.196,3.5,"RSMBK,BK_A"
"2427",188355.166,1997297.778,4,"RSMBK,BK_A"
"2428",188354.984,1997300.543,6,"RSMBK,BK_A"
"2429",188353.353,1997298.994,6.5,"RSMBK,BK_A"
"2430",188372.697,1997307.626,1,"RSMBK,BK_A"
"2431",188377.814,1997306.331,1,"RSMBK,BK_A"
"2432",188380.326,1997305.243,1.5,"RSMBK,BK_A"
"2433",188381.928,1997302.579,2,"RSMBK,BK_A"
"2434",188384.786,1997299.2,1.5,"RSMBK,BK_A"
"2435",188382.881,1997294.137,4,"RSMBK,BK_A"
"2436",188383.902,1997292.689,4,"RSMBK,BK_A"
"2437",188385.558,1997293.19,3,"RSMBK,BK_A"
"2438",188385.249,1997292.362,4,"RSMBK,BK_A"
"2439",188388.508,1997291.332,4.5,"RSMBK,BK_A"
"2440",188377.934,1997279.823,3.5,"RSMBK,BK_A"
"2441",188376.366,1997277.143,3,"RSMBK,BK_A"
"2442",188370.069,1997271.1,2.5,"RSMBK,BK_A"
"2443",188367.702,1997269.771,0.5,"RSMBK,BK_A"
"2444",188366.697,1997267.74,1,"RSMBK,BK_A"
"2445",188364.044,1997268.467,0.5,"RSMBK,BK_A"
"2446",188362.514,1997264.285,1.5,"RSMBK,BK_A"
"2447",188363.941,1997261.984,3.5,"RSMBK,BK_A"
"2448",188362.676,1997263.529,2,"RSMBK,BK_A"
"2449",188363.079,1997257.672,1,"RSMBK,BK_A"
"2450",188372.286,1997260.944,0,"RSMBK,BK_A"
"2451",188372.096,1997259.58,2,"RSMBK,BK_A"
"2452",188372.571,1997261.302,3.5,"RSMBK,BK_A"
"2453",188374.151,1997258.105,4.5,"RSMBK,BK_A"
"2454",188373.325,1997254.721,4.5,"RSMBK,BK_A"
"2455",188374.683,1997254.838,5.5,"RSMBK,BK_A"
"2456",188378.975,1997248.604,4.5,"RSMBK,BK_A"
"2457",188385.639,1997259.566,1,"RSMBK,BK_A"
"2458",188391.449,1997261.092,1,"RSMBK,BK_A"
"2459",188395.226,1997263.354,1,"RSMBK,BK_A"
"2460",188399.564,1997265.424,1.5,"RSMBK,BK_A"
"2461",188381.056,1997277.074,1,"RSMBK,BK_A"
"2462",188366.625,1997268.071,0.5,"RSMBK,BK_A"
"2463",188355.094,1997268.623,2,"RSMBK,BK_A"
"2464",188355.48,1997281.638,0.5,"RSMBK,BK_A"
"2465",188355.859,1997281.372,0.5,"RSMBK,BK_A"
"2466",188355.673,1997280.267,3,"RSMBK,BK_A"
"2467",188357.477,1997284.449,1,"RSMBK,BK_A"
"2468",188361.083,1997287.091,0.5,"RSMBK,BK_A"
"2469",188368.45,1997297.599,0.5,"RSMBK,BK_A"
"2470",188370.976,1997297.662,0.5,"RSMBK,BK_A"
"2471",188372.744,1997299.157,0.5,"RSMBK,BK_A"
"2472",188374.118,1997293.901,1,"RSMBK,BK_A"
"2473",188378.055,1997294.593,0.5,"RSMBK,BK_A"
"2474",188383.118,1997297.092,1,"RSMBK,BK_A"
"2475",188387.037,1997292.733,3.5,"RSMBK,BK_A"
"2476",188384.279,1997293.398,3.5,"RSMBK,BK_A"
